 #   corr_m    corr_e   u_corr
0.0358    2.0610         675
0.0361    2.0610         676
0.0364    2.0609         677
0.0367    2.0609         678
0.0370    2.0608         679
0.0373    2.0608         680
0.0376    2.0607         681
0.0379    2.0606         682
0.0382    2.0606         683
0.0385    2.0605         684
0.0388    2.0605         685
0.0391    2.0604         686
0.0394    2.0604         687
0.0397    2.0603         688
0.0400    2.0602         689
0.0403    2.0602         690
0.0406    2.0601         691
0.0409    2.0601         692
0.0412    2.0600         693
0.0415    2.0600         694
0.0418    2.0599         695
0.0421    2.0598         696
0.0424    2.0598         697
0.0427    2.0597         698
0.0430    2.0597         699
0.0433    2.0596         700
0.0432    2.0597         701
0.0431    2.0597         702
0.0431    2.0597         703
0.0430    2.0597         704
0.0429    2.0598         705
0.0428    2.0598         706
0.0427    2.0598         707
0.0426    2.0598         708
0.0425    2.0598         709
0.0425    2.0599         710
0.0424    2.0599         711
0.0423    2.0599         712
0.0422    2.0599         713
0.0421    2.0600         714
0.0420    2.0600         715
0.0419    2.0600         716
0.0419    2.0600         717
0.0418    2.0601         718
0.0417    2.0601         719
0.0416    2.0601         720
0.0415    2.0601         721
0.0414    2.0602         722
0.0413    2.0602         723
0.0412    2.0602         724
0.0412    2.0602         725
0.0411    2.0602         726
0.0410    2.0603         727
0.0409    2.0603         728
0.0408    2.0603         729
0.0407    2.0603         730
0.0406    2.0604         731
0.0406    2.0604         732
0.0405    2.0604         733
0.0404    2.0604         734
0.0403    2.0605         735
0.0402    2.0605         736
0.0401    2.0605         737
0.0400    2.0605         738
0.0400    2.0605         739
0.0399    2.0606         740
0.0398    2.0606         741
0.0397    2.0606         742
0.0396    2.0606         743
0.0395    2.0607         744
0.0394    2.0607         745
0.0394    2.0607         746
0.0393    2.0607         747
0.0392    2.0608         748
0.0391    2.0608         749
0.0390    2.0608         750
0.0389    2.0608         751
0.0388    2.0609         752
0.0388    2.0609         753
0.0387    2.0609         754
0.0386    2.0609         755
0.0385    2.0609         756
0.0384    2.0610         757
0.0383    2.0610         758
0.0382    2.0610         759
0.0382    2.0610         760
0.0381    2.0611         761
0.0380    2.0611         762
0.0379    2.0611         763
0.0378    2.0611         764
0.0377    2.0612         765
0.0376    2.0612         766
0.0376    2.0612         767
0.0375    2.0612         768
0.0374    2.0612         769
0.0373    2.0613         770
0.0372    2.0613         771
0.0371    2.0613         772
0.0370    2.0613         773
0.0370    2.0614         774
0.0369    2.0614         775
0.0368    2.0614         776
0.0367    2.0614         777
0.0366    2.0615         778
0.0365    2.0615         779
0.0364    2.0615         780
0.0364    2.0615         781
0.0363    2.0616         782
0.0362    2.0616         783
0.0361    2.0616         784
0.0360    2.0616         785
0.0359    2.0616         786
0.0358    2.0617         787
0.0358    2.0617         788
0.0357    2.0617         789
0.0356    2.0617         790
0.0355    2.0618         791
0.0354    2.0618         792
0.0353    2.0618         793
0.0352    2.0618         794
0.0352    2.0619         795
0.0351    2.0619         796
0.0350    2.0619         797
0.0349    2.0619         798
0.0348    2.0619         799
0.0347    2.0620         800
0.0347    2.0619         801
0.0348    2.0618         802
0.0348    2.0618         803
0.0349    2.0617         804
0.0349    2.0617         805
0.0349    2.0616         806
0.0350    2.0616         807
0.0350    2.0615         808
0.0351    2.0614         809
0.0351    2.0614         810
0.0352    2.0613         811
0.0352    2.0613         812
0.0353    2.0612         813
0.0353    2.0612         814
0.0353    2.0611         815
0.0354    2.0610         816
0.0354    2.0610         817
0.0355    2.0609         818
0.0355    2.0609         819
0.0356    2.0608         820
0.0356    2.0607         821
0.0356    2.0607         822
0.0357    2.0606         823
0.0357    2.0606         824
0.0358    2.0605         825
0.0358    2.0605         826
0.0359    2.0604         827
0.0359    2.0603         828
0.0359    2.0603         829
0.0360    2.0602         830
0.0360    2.0602         831
0.0361    2.0601         832
0.0361    2.0601         833
0.0362    2.0600         834
0.0362    2.0599         835
0.0362    2.0599         836
0.0363    2.0598         837
0.0363    2.0598         838
0.0364    2.0597         839
0.0364    2.0597         840
0.0365    2.0596         841
0.0365    2.0595         842
0.0365    2.0595         843
0.0366    2.0594         844
0.0366    2.0594         845
0.0367    2.0593         846
0.0367    2.0593         847
0.0368    2.0592         848
0.0368    2.0591         849
