 #m    e    m2    e2    
  0.8700     -1.6000      0.7569      2.5600
  0.8800     -1.6500      0.7744      2.7225
  0.5500     -1.1400      0.3025      1.2996
  0.5250     -1.3900      0.2756      1.9321
  0.8500     -1.5600      0.7225      2.4336
  0.4250     -1.1200      0.1806      1.2544
  0.8200     -1.4800      0.6724      2.1904
  0.3250     -1.2500      0.1056      1.5625
  0.4350     -1.1600      0.1892      1.3456
 -0.4900     -1.2800      0.2401      1.6384
 -0.5100     -1.3000      0.2601      1.6900
 -0.8250     -1.5300      0.6806      2.3409
 -0.8650     -1.6300      0.7482      2.6569
 -0.6500     -1.2500      0.4225      1.5625
 -0.7650     -1.4700      0.5852      2.1609
 -0.6000     -1.4000      0.3600      1.9600
 -0.6350     -1.3000      0.4032      1.6900
  0.1150     -1.1900      0.0132      1.4161
  0.7550     -1.5100      0.5700      2.2801
  0.7900     -1.5400      0.6241      2.3716
 -0.6650     -1.4000      0.4422      1.9600
 -0.8600     -1.6000      0.7396      2.5600
 -0.7450     -1.4700      0.5550      2.1609
 -0.7200     -1.3900      0.5184      1.9321
 -0.4150     -1.3000      0.1722      1.6900
 -0.6400     -1.3300      0.4096      1.7689
 -0.4400     -1.3100      0.1936      1.7161
 -0.8650     -1.6000      0.7482      2.5600
  0.6450     -1.1700      0.4160      1.3689
  0.8250     -1.5800      0.6806      2.4964
  0.5550     -1.3100      0.3080      1.7161
  0.7850     -1.5700      0.6162      2.4649
  0.2600     -1.3100      0.0676      1.7161
  0.8100     -1.5200      0.6561      2.3104
  0.8500     -1.5600      0.7225      2.4336
  0.7800     -1.4500      0.6084      2.1025
 -0.8300     -1.4700      0.6889      2.1609
 -0.0900     -1.3200      0.0081      1.7424
 -0.8550     -1.5700      0.7310      2.4649
 -0.7400     -1.4600      0.5476      2.1316
 -0.8450     -1.5400      0.7140      2.3716
 -0.8650     -1.5700      0.7482      2.4649
 -0.8600     -1.5500      0.7396      2.4025
 -0.5600     -1.3800      0.3136      1.9044
 -0.5000     -1.2400      0.2500      1.5376
  0.2550     -1.3800      0.0650      1.9044
  0.7900     -1.4800      0.6241      2.1904
 -0.6200     -1.4300      0.3844      2.0449
 -0.6600     -1.3900      0.4356      1.9321
 -0.3000     -1.1800      0.0900      1.3924
 -0.7850     -1.5700      0.6162      2.4649
 -0.7200     -1.3800      0.5184      1.9044
 -0.4800     -1.2600      0.2304      1.5876
 -0.5550     -1.2800      0.3080      1.6384
 -0.0300     -1.2400      0.0009      1.5376
  0.7450     -1.3500      0.5550      1.8225
 -0.1150     -1.3300      0.0132      1.7689
  0.2150     -1.2600      0.0462      1.5876
  0.5450     -1.2200      0.2970      1.4884
  0.7100     -1.4400      0.5041      2.0736
  0.3350     -1.1000      0.1122      1.2100
 -0.1800     -1.3000      0.0324      1.6900
 -0.7800     -1.4200      0.6084      2.0164
  0.7250     -1.4600      0.5256      2.1316
  0.7300     -1.4100      0.5329      1.9881
 -0.6650     -1.4000      0.4422      1.9600
 -0.8900     -1.7400      0.7921      3.0276
 -0.8750     -1.6600      0.7656      2.7556
 -0.8050     -1.5200      0.6480      2.3104
 -0.8050     -1.6200      0.6480      2.6244
 -0.7500     -1.3800      0.5625      1.9044
 -0.8300     -1.5700      0.6889      2.4649
 -0.6200     -1.2400      0.3844      1.5376
 -0.7150     -1.3900      0.5112      1.9321
 -0.5900     -1.2800      0.3481      1.6384
  0.7950     -1.4800      0.6320      2.1904
  0.8050     -1.4300      0.6480      2.0449
  0.5850     -1.1800      0.3422      1.3924
  0.8100     -1.6000      0.6561      2.5600
  0.6800     -1.3900      0.4624      1.9321
  0.8300     -1.5400      0.6889      2.3716
  0.5950     -1.3600      0.3540      1.8496
  0.0950     -1.3300      0.0090      1.7689
  0.6350     -1.3900      0.4032      1.9321
  0.8050     -1.6200      0.6480      2.6244
  0.8200     -1.5200      0.6724      2.3104
  0.1950     -1.2000      0.0380      1.4400
  0.8300     -1.5500      0.6889      2.4025
  0.6550     -1.2500      0.4290      1.5625
  0.6950     -1.3200      0.4830      1.7424
  0.5700     -1.3300      0.3249      1.7689
  0.5800     -1.2300      0.3364      1.5129
  0.5300     -1.1200      0.2809      1.2544
  0.5700     -1.3900      0.3249      1.9321
  0.5050     -1.2900      0.2550      1.6641
  0.6400     -1.4600      0.4096      2.1316
 -0.5900     -1.1200      0.3481      1.2544
 -0.3200     -1.2100      0.1024      1.4641
  0.7950     -1.5000      0.6320      2.2500
 -0.7950     -1.4100      0.6320      1.9881
 -0.5250     -1.2500      0.2756      1.5625
 -0.8000     -1.5700      0.6400      2.4649
 -0.7950     -1.5000      0.6320      2.2500
  0.7450     -1.4900      0.5550      2.2201
  0.0800     -1.0500      0.0064      1.1025
 -0.7650     -1.4000      0.5852      1.9600
 -0.7750     -1.6200      0.6006      2.6244
 -0.6150     -1.3500      0.3782      1.8225
 -0.5500     -1.4400      0.3025      2.0736
 -0.8000     -1.5200      0.6400      2.3104
 -0.7500     -1.4200      0.5625      2.0164
 -0.8250     -1.5300      0.6806      2.3409
 -0.8750     -1.5800      0.7656      2.4964
 -0.2500     -1.2100      0.0625      1.4641
 -0.0950     -1.0900      0.0090      1.1881
 -0.7800     -1.4900      0.6084      2.2201
  0.4700     -1.2200      0.2209      1.4884
  0.3900     -1.2600      0.1521      1.5876
  0.8050     -1.4100      0.6480      1.9881
  0.4450     -1.1400      0.1980      1.2996
 -0.7350     -1.4800      0.5402      2.1904
 -0.7650     -1.3800      0.5852      1.9044
 -0.7800     -1.4800      0.6084      2.1904
  0.4850     -1.1700      0.2352      1.3689
